"Subject","Item","PrecritCode","Index","Bin","Event_code"
112,11,154,1418,3,155
112,51,154,1430,3,155
112,116,134,1442,1,136
112,104,134,1454,1,135
112,94,144,1467,2,145
112,12,134,1473,1,135
112,20,134,1486,1,135
112,69,164,1492,4,165
113,21,134,4,1,135
113,16,154,17,3,155
113,75,144,29,2,145
113,63,144,35,2,146
113,87,144,48,2,145
113,12,154,54,3,155
113,85,134,66,1,136
113,14,164,72,4,165
113,5,134,84,1,135
113,116,154,90,3,155
113,10,164,102,4,165
113,33,134,108,1,135
113,86,164,120,4,165
113,99,144,126,2,146
113,115,144,139,2,146
113,66,164,145,4,165
113,8,154,158,3,155
113,34,164,189,4,165
113,69,134,195,1,135
113,61,134,208,1,136
113,73,134,220,1,136
113,30,164,233,4,165
113,59,144,253,2,146
113,11,144,272,2,145
113,3,144,285,2,145
113,56,154,291,3,155
113,81,134,304,1,136
113,102,164,310,4,165
113,108,154,329,3,155
113,54,164,335,4,165
113,17,134,361,1,136
113,9,134,367,1,135
113,41,134,387,1,136
113,65,134,393,1,136
113,49,134,406,1,135
113,55,144,412,2,146
113,70,164,424,4,165
113,29,134,430,1,135
113,20,154,443,3,155
113,6,164,449,4,165
113,27,144,462,2,145
113,96,154,468,3,155
113,2,164,481,4,165
113,82,164,494,4,165
113,64,154,506,3,155
113,110,164,518,4,165
113,36,154,531,3,155
113,78,164,537,4,165
113,90,164,550,4,165
113,7,144,562,2,145
113,118,164,568,4,165
113,19,144,581,2,145
113,97,134,587,1,136
113,51,144,599,2,145
113,45,134,613,1,136
113,103,144,626,2,146
113,79,144,639,2,146
113,89,134,645,1,136
113,37,134,658,1,135
113,91,144,670,2,146
113,94,164,683,4,165
113,24,154,695,3,155
113,109,134,707,1,136
113,71,144,732,2,146
113,74,164,759,4,165
